"key","file","lonMin","lonMax","latMin","latMax","centerLon","centerLat"
"ETOPO_2022_v1_15s_N00E000_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E000_surface.tif","0","15","-15","0","7.5","-7.5"
"ETOPO_2022_v1_15s_N00E015_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E015_surface.tif","15","30","-15","0","22.5","-7.5"
"ETOPO_2022_v1_15s_N00E030_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E030_surface.tif","30","45","-15","0","37.5","-7.5"
"ETOPO_2022_v1_15s_N00E045_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E045_surface.tif","45","60","-15","0","52.5","-7.5"
"ETOPO_2022_v1_15s_N00E060_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E060_surface.tif","60","75","-15","0","67.5","-7.5"
"ETOPO_2022_v1_15s_N00E075_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E075_surface.tif","75","90","-15","0","82.5","-7.5"
"ETOPO_2022_v1_15s_N00E090_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E090_surface.tif","90","105","-15","0","97.5","-7.5"
"ETOPO_2022_v1_15s_N00E105_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E105_surface.tif","105","120","-15","0","112.5","-7.5"
"ETOPO_2022_v1_15s_N00E120_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E120_surface.tif","120","135","-15","0","127.5","-7.5"
"ETOPO_2022_v1_15s_N00E135_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E135_surface.tif","135","150","-15","0","142.5","-7.5"
"ETOPO_2022_v1_15s_N00E150_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E150_surface.tif","150","165","-15","0","157.5","-7.5"
"ETOPO_2022_v1_15s_N00E165_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00E165_surface.tif","165","180","-15","0","172.5","-7.5"
"ETOPO_2022_v1_15s_N00W015_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W015_surface.tif","-15","0","-15","0","-7.5","-7.5"
"ETOPO_2022_v1_15s_N00W030_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W030_surface.tif","-30","-15","-15","0","-22.5","-7.5"
"ETOPO_2022_v1_15s_N00W045_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W045_surface.tif","-45","-30","-15","0","-37.5","-7.5"
"ETOPO_2022_v1_15s_N00W060_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W060_surface.tif","-60","-45","-15","0","-52.5","-7.5"
"ETOPO_2022_v1_15s_N00W075_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W075_surface.tif","-75","-60","-15","0","-67.5","-7.5"
"ETOPO_2022_v1_15s_N00W090_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W090_surface.tif","-90","-75","-15","0","-82.5","-7.5"
"ETOPO_2022_v1_15s_N00W105_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W105_surface.tif","-105","-90","-15","0","-97.5","-7.5"
"ETOPO_2022_v1_15s_N00W120_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W120_surface.tif","-120","-105","-15","0","-112.5","-7.5"
"ETOPO_2022_v1_15s_N00W135_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W135_surface.tif","-135","-120","-15","0","-127.5","-7.5"
"ETOPO_2022_v1_15s_N00W150_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W150_surface.tif","-150","-135","-15","0","-142.5","-7.5"
"ETOPO_2022_v1_15s_N00W165_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W165_surface.tif","-165","-150","-15","0","-157.5","-7.5"
"ETOPO_2022_v1_15s_N00W180_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N00W180_surface.tif","-180","-165","-15","0","-172.5","-7.5"
"ETOPO_2022_v1_15s_N15E000_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N15E000_surface.tif","0","15","0","15","7.5","7.5"
"ETOPO_2022_v1_15s_N15E015_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N15E015_surface.tif","15","30","0","15","22.5","7.5"
"ETOPO_2022_v1_15s_N15E030_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N15E030_surface.tif","30","45","0","15","37.5","7.5"
"ETOPO_2022_v1_15s_N15E045_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N15E045_surface.tif","45","60","0","15","52.5","7.5"
"ETOPO_2022_v1_15s_N15E060_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N15E060_surface.tif","60","75","0","15","67.5","7.5"
"ETOPO_2022_v1_15s_N15E075_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N15E075_surface.tif","75","90","0","15","82.5","7.5"
"ETOPO_2022_v1_15s_N15E090_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N15E090_surface.tif","90","105","0","15","97.5","7.5"
"ETOPO_2022_v1_15s_N15E105_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N15E105_surface.tif","105","120","0","15","112.5","7.5"
"ETOPO_2022_v1_15s_N15E120_surface","Assets/Map/Textures/etopo15normcomp/ETOPO_2022_v1_15s_N15E120_surface.tif","120","135","0","15","127.5","7.5"
